Name,Age,Occupation,PAN_Card,Aadhar_Card,Bank_Account_No,Marital_Status,Children (Yes/No),Reported_Income,Interest_Income,Business_Income,Capital_Gains,Other_Income,Educational_Expenses,Healthcare_Costs,Lifestyle_Expenditure,Other_Expenses,Bank_Debited,Credit_Card_Debited,Actual_Income
Name0001,56,Salaried,PAN0001X,Aadhar0001,BankAcc0001,Single,Yes,1595865,0,319173,79793,239380,127669,111711,191504,159586,79793,0,2563948
Name0002,23,Business,PAN0002X,Aadhar0002,BankAcc0002,Married,No,1837136,183714,367427,0,275570,146971,128600,0,183714,91857,55114,2057591
Name0003,39,Self-employed,PAN0003X,Aadhar0003,BankAcc0003,Single,No,1448397,144840,289679,0,,115872,101388,0,144840,72420,43452,2000000
Name0004,70,Business,PAN0004X,Aadhar0004,BankAcc0004,Single,No,896310,89631,179262,0,134446,71705,0,0,0,44816,26889,2156239
Name0005,58,Self-employed,PAN0005X,Aadhar0005,BankAcc0005,Married,Yes,837210,83721,167442,0,125582,66977,58605,100465,83721,41860,25116,837211
Name0006,62,Business,PAN0006X,Aadhar0006,BankAcc0006,Single,Yes,24368,2437,0,1218,3655,1949,1706,0,2437,0,731,24855
Name0007,96,Salaried,PAN0007X,Aadhar0007,BankAcc0007,Single,No,1943528,194353,0,0,291529,155482,136047,233223,0,97176,58306,2749176
Name0008,45,Business,PAN0008X,Aadhar0008,BankAcc0008,Married,No,1876946,187695,0,93847,281542,150156,131386,225234,187695,93847,56308,2595404
Name0009,35,Salaried,PAN0009X,Aadhar0009,BankAcc0009,Married,No,1698330,169833,339666,0,0,135866,118883,203800,169833,84916,50950,2443581
Name0010,61,Salaried,PAN0010X,Aadhar0010,BankAcc0010,Married,Yes,1370692,137069,274138,0,205604,109655,95948,164483,137069,68535,41121,1470692
Name0011,59,Self-employed,PAN0011X,Aadhar0011,BankAcc0011,Married,No,381864,38186,76373,19093,57280,30549,26730,45824,0,19093,11456,439144
Name0012,23,Business,PAN0012X,Aadhar0012,BankAcc0012,Single,Yes,1082187,0,216437,54109,162328,86575,75753,0,0,0,0,1352733
Name0013,60,Self-employed,PAN0013X,Aadhar0013,BankAcc0013,Single,Yes,570913,114225,228450,0,0,91380,79958,137070,114225,57113,34268,1142252
Name0014,93,Business,PAN0014X,Aadhar0014,BankAcc0014,Single,No,547062,0,0,45589,0,72942,63824,109413,91177,45589,27353,911771
Name0015,86,Salaried,PAN0015X,Aadhar0015,BankAcc0015,Married,Yes,779112,77911,155822,0,116867,0,0,0,77911,38956,23373,989472
Name0016,66,Business,PAN0016X,Aadhar0016,BankAcc0016,Single,No,974118,97412,194824,0,146118,77929,0,116894,0,48706,29224,1139719
Name0017,63,Self-employed,PAN0017X,Aadhar0017,BankAcc0017,Single,Yes,1350899,150100,300200,0,0,120080,105070,180120,150100,0,45030,1500999
Name0018,87,Self-employed,PAN0018X,Aadhar0018,BankAcc0018,Single,Yes,199828,399656,0,0,159862,139879,239793,199828,99914,59948,1698538,1998278
Name0019,59,Salaried,PAN0019X,Aadhar0019,BankAcc0019,Married,No,1858279,185828,371656,92914,278742,0,130080,0,0,92914,55748,2508677
Name0020,40,Salaried,PAN0020X,Aadhar0020,BankAcc0020,Married,No,758614,0,151723,37931,113792,60689,53103,91034,0,37931,22758,796545
Name0021,51,Self-employed,PAN0021X,Aadhar0021,BankAcc0021,Single,Yes,353517,35352,70703,17676,53028,28281,24746,42422,35352,17676,10606,371193
Name0022,83,Business,PAN0022X,Aadhar0022,BankAcc0022,Married,Yes,1656080,165608,331216,82804,248412,132486,115926,198730,165608,82804,49682,1738884
Name0023,99,Salaried,PAN0023X,Aadhar0023,BankAcc0023,Married,Yes,1623412,162341,324682,81171,243512,,113639,194809,0,81171,48702,2623412
Name0024,66,Business,PAN0024X,Aadhar0024,BankAcc0024,Married,No,166629,16663,33326,0,24994,13330,11664,19995,16663,8331,4999,166630
Name0025,54,Business,PAN0025X,Aadhar0025,BankAcc0025,Single,No,1943198,194320,0,97160,291480,0,0,233184,0,97160,58296,2137518
Name0026,38,Business,PAN0026X,Aadhar0026,BankAcc0026,Married,Yes,1326482,,0,66324,198972,106119,92854,0,0,66324,39794,2326482
Name0027,72,Business,PAN0027X,Aadhar0027,BankAcc0027,Single,No,736289,,0,0,110443,0,51540,0,0,36814,22089,836289
Name0028,29,Self-employed,PAN0028X,Aadhar0028,BankAcc0028,Single,No,1277367,127737,255473,,191605,102189,0,153284,127737,0,38321,1377367
Name0029,24,Self-employed,PAN0029X,Aadhar0029,BankAcc0029,Married,No,1477223,147722,295445,73861,221583,0,0,177267,0,73861,44317,1920389
Name0030,75,Business,PAN0030X,Aadhar0030,BankAcc0030,Single,Yes,224007,0,45716,11429,0,0,0,27429,22858,11429,0,228578
Name0031,78,Salaried,PAN0031X,Aadhar0031,BankAcc0031,Single,No,1441657,144166,288331,0,216249,115333,100916,172999,144166,72083,43250,1541656
Name0032,22,Business,PAN0032X,Aadhar0032,BankAcc0032,Married,Yes,15506,1551,3101,775,2326,1240,1085,0,0,775,465,19694
Name0033,72,Business,PAN0033X,Aadhar0033,BankAcc0033,Married,Yes,1768448,176845,353690,88422,265267,141476,123791,212214,176845,88422,53053,1856871
Name0034,56,Business,PAN0034X,Aadhar0034,BankAcc0034,Married,Yes,955843,0,191169,47792,143376,0,66909,114701,95584,47792,0,1013194
Name0035,79,Salaried,PAN0035X,Aadhar0035,BankAcc0035,Married,No,1077578,107758,215516,53879,0,86206,75430,129309,107758,53879,32327,1169822
Name0036,34,Business,PAN0036X,Aadhar0036,BankAcc0036,Married,Yes,817743,0,163549,40887,122661,65419,57242,98129,81774,40887,24532,976857
Name0037,34,Salaried,PAN0037X,Aadhar0037,BankAcc0037,Single,No,1519829,151983,303966,0,0,121586,106388,182379,,75991,45595,1619829
Name0038,88,Self-employed,PAN0038X,Aadhar0038,BankAcc0038,Married,Yes,1058742,105874,0,0,158811,84699,74112,127049,0,52937,31762,1152868
Name0039,75,Salaried,PAN0039X,Aadhar0039,BankAcc0039,Single,Yes,497516,49752,0,24876,74627,39801,34826,59702,49752,24876,14925,522889
Name0040,66,Salaried,PAN0040X,Aadhar0040,BankAcc0040,Single,Yes,960672,96067,192134,0,144101,76854,67247,115281,96067,48034,28820,1060671
Name0041,38,Self-employed,PAN0041X,Aadhar0041,BankAcc0041,Married,Yes,121279,12128,24256,6064,18192,9702,8490,14553,0,6064,3638,139472
Name0042,47,Salaried,PAN0042X,Aadhar0042,BankAcc0042,Married,Yes,326888,32689,65378,16344,0,26151,0,39227,0,16344,9807,349770
Name0043,40,Salaried,PAN0043X,Aadhar0043,BankAcc0043,Married,No,671170,67117,134234,33558,0,53694,46982,80540,67117,33558,20135,704053
Name0044,53,Self-employed,PAN0044X,Aadhar0044,BankAcc0044,Married,Yes,121952,12195,0,6098,18293,9756,8537,14634,12195,6098,3659,203659
Name0045,37,Salaried,PAN0045X,Aadhar0045,BankAcc0045,Married,No,1764565,176456,352913,0,0,141165,123520,0,0,88228,52937,1888084
Name0046,30,Self-employed,PAN0046X,Aadhar0046,BankAcc0046,Married,Yes,1935893,193589,387179,96795,290384,154871,135513,232307,193589,96795,0,2090765
Name0047,93,Self-employed,PAN0047X,Aadhar0047,BankAcc0047,Single,No,909351,90935,0,0,136403,72748,0,109122,90935,45468,27281,1891135
Name0048,29,Salaried,PAN0048X,Aadhar0048,BankAcc0048,Single,No,1990373,199037,398075,0,298556,159230,139326,238845,199037,99519,59711,2102585
Name0049,69,Self-employed,PAN0049X,Aadhar0049,BankAcc0049,Single,Yes,1229748,122975,0,61487,184462,98380,86082,147570,122975,61487,36892,1341960
Name0050,69,Self-employed,PAN0050X,Aadhar0050,BankAcc0050,Married,Yes,342890,34289,68578,17144,51434,0,24002,0,34289,17144,10287,428613
Name0051,34,Self-employed,PAN0051X,Aadhar0051,BankAcc0051,Single,Yes,1097512,0,219502,0,0,87801,76826,0,109751,54876,32925,1209724
Name0052,50,Self-employed,PAN0052X,Aadhar0052,BankAcc0052,Married,Yes,1022870,102287,0,0,153430,81830,71601,122744,102287,51144,30686,1135082
Name0053,99,Salaried,PAN0053X,Aadhar0053,BankAcc0053,Married,Yes,959400,95940,0,47970,0,0,0,115128,95940,47970,28782,1071612
Name0054,32,Self-employed,PAN0054X,Aadhar0054,BankAcc0054,Single,Yes,1270239,127024,254048,63512,0,101619,0,152429,127024,0,38107,1295644
Name0055,54,Business,PAN0055X,Aadhar0055,BankAcc0055,Single,Yes,521144,52114,0,0,78172,41692,36480,62537,52114,26057,15634,633356
Name0056,33,Business,PAN0056X,Aadhar0056,BankAcc0056,Single,Yes,231741,23174,0,11587,34761,0,16222,27809,23174,11587,6952,315519
Name0057,70,Self-employed,PAN0057X,Aadhar0057,BankAcc0057,Married,Yes,516990,51699,103398,0,77548,41359,36189,62039,0,25850,15510,568688
Name0058,38,Salaried,PAN0058X,Aadhar0058,BankAcc0058,Married,Yes,564751,56475,0,28238,84713,45180,39533,67770,56475,0,16943,608276
Name0059,61,Business,PAN0059X,Aadhar0059,BankAcc0059,Married,Yes,1007968,100797,201594,50398,151195,80637,70558,120956,100797,50398,30239,1058367
Name0060,89,Self-employed,PAN0060X,Aadhar0060,BankAcc0060,Married,No,1126026,112603,225205,,168904,90082,78822,135123,112603,56301,33781,1238238
Name0061,94,Business,PAN0061X,Aadhar0061,BankAcc0061,Single,Yes,759813,75981,151963,0,113972,60785,53187,91178,75981,37991,22794,859813
Name0062,43,Business,PAN0062X,Aadhar0062,BankAcc0062,Married,No,1613676,161368,322735,0,0,0,112957,193641,0,80684,48410,1662087
Name0063,34,Business,PAN0063X,Aadhar0063,BankAcc0063,Single,Yes,1293704,129370,258741,64685,0,103496,90559,155244,129370,64685,38811,1405916
Name0064,45,Salaried,PAN0064X,Aadhar0064,BankAcc0064,Single,No,1030266,0,0,51513,154540,82421,72119,123632,0,51513,30908,3066099
Name0065,83,Salaried,PAN0065X,Aadhar0065,BankAcc0065,Single,No,24988,2499,4998,0,3748,1999,1749,2999,2499,1249,750,124988
Name0066,49,Self-employed,PAN0066X,Aadhar0066,BankAcc0066,Married,Yes,1836870,183687,367374,91844,275530,146950,128581,220424,183687,91844,55106,1928713
Name0067,70,Self-employed,PAN0067X,Aadhar0067,BankAcc0067,Married,No,925300,92530,0,0,138795,74024,64771,111036,92530,0,27759,1037512
Name0068,82,Business,PAN0068X,Aadhar0068,BankAcc0068,Married,Yes,31589,3159,0,1579,0,2527,2211,0,3159,1579,948,125903
Name0069,98,Salaried,PAN0069X,Aadhar0069,BankAcc0069,Married,No,1705993,170599,0,85300,0,136479,119420,0,170599,0,51180,1818205
Name0070,47,Business,PAN0070X,Aadhar0070,BankAcc0070,Single,Yes,1230730,0,0,61536,0,0,86151,147688,123073,0,36922,1342942
Name0071,94,Salaried,PAN0071X,Aadhar0071,BankAcc0071,Single,No,973762,97376,194752,48688,0,77901,68163,116851,97376,48688,29213,976386
Name0072,75,Business,PAN0072X,Aadhar0072,BankAcc0072,Single,No,518845,0,0,25942,77827,41508,36319,62261,51884,,15565,631057
Name0073,98,Self-employed,PAN0073X,Aadhar0073,BankAcc0073,Married,No,628192,0,0,31410,0,50255,0,75383,62819,31410,18846,740404
Name0074,96,Salaried,PAN0074X,Aadhar0074,BankAcc0074,Married,No,1968791,196879,393758,0,295319,157503,137815,236255,196879,0,59064,2067231
Name0075,70,Business,PAN0075X,Aadhar0075,BankAcc0075,Married,Yes,328028,32803,65606,16401,0,26242,22962,39363,32803,16401,9841,395226
Name0076,91,Self-employed,PAN0076X,Aadhar0076,BankAcc0076,Married,Yes,1495066,149507,299013,74753,224260,119605,104655,179408,0,74753,44852,1719326
Name0077,43,Business,PAN0077X,Aadhar0077,BankAcc0077,Married,No,1042713,104271,208543,52136,156407,83417,72990,125126,104271,52136,31281,1094849
Name0078,85,Salaried,PAN0078X,Aadhar0078,BankAcc0078,Married,No,1996108,199611,399222,0,299416,159689,139728,0,199611,99805,59883,2235641
Name0079,45,Self-employed,PAN0079X,Aadhar0079,BankAcc0079,Married,No,221439,22144,0,0,33216,17715,0,26573,22144,0,6643,303724
Name0080,40,Self-employed,PAN0080X,Aadhar0080,BankAcc0080,Married,Yes,126604,12660,0,6330,18991,10128,8862,15192,0,6330,3798,220275
Name0081,36,Self-employed,PAN0081X,Aadhar0081,BankAcc0081,Single,Yes,157066,15707,31413,0,23560,12565,10995,18848,15707,7853,4712,257066
Name0082,90,Self-employed,PAN0082X,Aadhar0082,BankAcc0082,Married,Yes,186313,0,37263,0,0,14905,13042,22358,18631,9316,5589,239735
Name0083,76,Self-employed,PAN0083X,Aadhar0083,BankAcc0083,Married,Yes,1643986,164399,0,82199,246598,0,0,197278,0,82199,49320,1808385
Name0084,33,Self-employed,PAN0084X,Aadhar0084,BankAcc0084,Married,Yes,730487,73049,146097,36524,109573,58439,51134,0,73049,36524,21915,854669
Name0085,91,Self-employed,PAN0085X,Aadhar0085,BankAcc0085,Married,Yes,1332981,0,266596,0,199947,106638,93309,0,133298,66649,39989,1359641
Name0086,91,Self-employed,PAN0086X,Aadhar0086,BankAcc0086,Single,Yes,243777,24378,48755,12189,36567,19502,17064,29253,24378,12189,7313,255967
Name0087,72,Self-employed,PAN0087X,Aadhar0087,BankAcc0087,Married,No,1558420,155842,0,77921,233763,124674,0,187010,155842,77921,0,1580499
Name0088,43,Salaried,PAN0088X,Aadhar0088,BankAcc0088,Single,No,914265,91426,182853,45713,137140,73141,63999,109712,91426,45713,27428,959978
Name0089,78,Self-employed,PAN0089X,Aadhar0089,BankAcc0089,Single,Yes,1531004,153100,306201,76550,229651,0,0,183720,153100,0,45930,1913756
Name0090,75,Salaried,PAN0090X,Aadhar0090,BankAcc0090,Single,Yes,1626109,162611,325222,81305,0,130089,113828,195133,162611,81305,48783,1738321
Name0091,42,Business,PAN0091X,Aadhar0091,BankAcc0091,Married,No,1113277,111328,222655,0,0,89062,77929,133593,111328,55664,33398,1225489
Name0092,70,Salaried,PAN0092X,Aadhar0092,BankAcc0092,Married,Yes,1502796,150280,300559,75140,0,120224,105196,180336,0,75140,45084,1602795
Name0093,43,Self-employed,PAN0093X,Aadhar0093,BankAcc0093,Single,No,1331245,133124,0,0,199687,106500,0,0,133124,66562,39937,1417933
Name0094,72,Salaried,PAN0094X,Aadhar0094,BankAcc0094,Single,No,1994797,0,398959,0,299220,0,139636,239376,199480,99740,59844,2054900
Name0095,77,Business,PAN0095X,Aadhar0095,BankAcc0095,Single,No,991085,99108,0,0,0,79287,69376,118930,0,49554,29733,1103297
Name0096,96,Salaried,PAN0096X,Aadhar0096,BankAcc0096,Single,No,659179,65918,0,32959,98877,52734,46143,79101,65918,0,19775,693262
Name0097,64,Salaried,PAN0097X,Aadhar0097,BankAcc0097,Married,Yes,436544,43654,87309,21827,0,34924,30558,52385,43654,21827,0,505986
Name0098,21,Self-employed,PAN0098X,Aadhar0098,BankAcc0098,Married,No,706435,70644,141287,0,105965,56515,49450,0,70644,35322,21193,791207
Name0099,90,Salaried,PAN0099X,Aadhar0099,BankAcc0099,Married,Yes,1905511,190551,381102,95276,285827,152441,133386,228661,190551,0,57165,2096063
Name0100,44,Salaried,PAN0100X,Aadhar0100,BankAcc0100,Single,Yes,1102829,0,220566,55141,165424,0,77198,132339,110283,55141,33085,1135914
Name0101,89,Salaried,PAN0101X,Aadhar0101,BankAcc0101,Single,Yes,1165809,116581,233162,58290,174871,93265,81607,139897,116581,58290,34974,1224099
Name0102,53,Business,PAN0102X,Aadhar0102,BankAcc0102,Married,Yes,311247,31125,0,0,46687,24900,21787,37350,31125,15562,9337,348998
Name0103,100,Self-employed,PAN0103X,Aadhar0103,BankAcc0103,Married,Yes,1300171,0,260034,0,195026,104014,91012,0,0,65009,39005,1456191
Name0104,38,Self-employed,PAN0104X,Aadhar0104,BankAcc0104,Married,Yes,399531,0,0,0,0,31962,27967,47944,39953,19977,11986,511743
Name0105,63,Business,PAN0105X,Aadhar0105,BankAcc0105,Married,Yes,228059,22806,45612,0,34209,18245,15964,27367,0,11403,6842,250865
Name0106,89,Salaried,PAN0106X,Aadhar0106,BankAcc0106,Single,Yes,263000,26300,52600,13150,39450,21040,18410,0,26300,0,7890,320860
Name0107,23,Salaried,PAN0107X,Aadhar0107,BankAcc0107,Married,No,521761,52176,104352,26088,78264,0,36523,62611,52176,26088,15653,589590
Name0108,76,Self-employed,PAN0108X,Aadhar0108,BankAcc0108,Single,Yes,1547409,154741,309482,77370,232111,123793,108319,0,154741,77370,46422,1810468
Name0109,31,Salaried,PAN0109X,Aadhar0109,BankAcc0109,Married,Yes,143027,14303,0,7151,21454,11442,0,17163,14303,7151,0,235876
